ticker,company_name,sector,fiscal_year,period_ending,year,revenue_musd,revenue_growth_pct,net_income_musd,net_profit_margin_pct,eps_diluted,pe_ratio,debt_to_equity,roe_pct,negative_equity
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,FY2025,2025-01-31,2025,3954.0,29.39,-15.24,-0.39,-0.02,,0.24,-0.44,0
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,FY2026,2026-01-31,2026,4812.0,21.71,-162.5,-3.38,-0.16,,0.18,-4.14,0
CSCO,Cisco Systems Inc.,Hardware,FY2022,2022-07-30,2022,51557.0,3.49,11812.0,22.91,2.82,15.91,0.27,29.15,0
CSCO,Cisco Systems Inc.,Hardware,FY2023,2023-07-29,2023,56998.0,10.55,12613.0,22.13,3.07,16.83,0.21,29.99,0
CSCO,Cisco Systems Inc.,Hardware,FY2024,2024-07-27,2024,53803.0,-5.61,10320.0,19.18,2.54,18.69,0.71,22.98,0
CSCO,Cisco Systems Inc.,Hardware,FY2025,2025-07-26,2025,56654.0,5.3,10180.0,17.97,2.55,26.72,0.63,22.06,0
CSCO,Cisco Systems Inc.,Hardware,FY2026,2026-07-25,2026,63325.0,11.77,13267.0,20.95,3.33,33.92,0.62,27.32,0
CTSH,Cognizant Technology Solutions,IT Services,FY2022,2022-12-31,2022,19428.0,4.98,2290.0,11.79,4.41,12.84,0.13,18.85,0
CTSH,Cognizant Technology Solutions,IT Services,FY2023,2023-12-31,2023,19353.0,-0.39,2126.0,10.99,4.21,17.81,0.1,16.65,0
CTSH,Cognizant Technology Solutions,IT Services,FY2024,2024-12-31,2024,19736.0,1.98,2240.0,11.35,4.51,17.02,0.1,16.21,0
CTSH,Cognizant Technology Solutions,IT Services,FY2025,2025-12-31,2025,21108.0,6.95,2230.0,10.56,4.56,17.96,0.08,15.16,0
DELL,Dell Technologies Inc.,Hardware,FY2023,2023-02-03,2023,102301.0,1.09,2442.0,2.39,3.24,12.39,,165.48,0
DELL,Dell Technologies Inc.,Hardware,FY2024,2024-02-02,2024,88425.0,-13.56,3388.0,3.83,4.6,18.0,,,0
DELL,Dell Technologies Inc.,Hardware,FY2025,2025-01-31,2025,95567.0,8.08,4592.0,4.81,6.38,15.74,,,0
DELL,Dell Technologies Inc.,Hardware,FY2026,2026-01-30,2026,113538.0,18.8,5936.0,5.23,8.68,12.78,,,0
DXC,DXC Technology Company,IT Services,FY2022,2022-03-31,2022,16265.0,-8.26,718.0,4.41,2.81,11.11,1.15,13.78,0
DXC,DXC Technology Company,IT Services,FY2023,2023-03-31,2023,14430.0,-11.28,-568.0,-3.94,-2.48,,1.4,-12.31,0
DXC,DXC Technology Company,IT Services,FY2024,2024-03-31,2024,13667.0,-5.29,91.0,0.67,0.46,42.62,1.59,2.5,0
DXC,DXC Technology Company,IT Services,FY2025,2025-03-31,2025,12871.0,-5.82,389.0,3.02,2.1,7.94,1.3,12.08,0
DXC,DXC Technology Company,IT Services,FY2026,2026-03-31,2026,12644.0,-1.76,18.0,0.14,0.1,118.55,1.32,0.84,0
FTNT,Fortinet Inc.,Cybersecurity,FY2022,2022-12-31,2022,4417.0,32.17,857.3,19.41,1.06,44.55,-3.86,331.5,1
FTNT,Fortinet Inc.,Cybersecurity,FY2023,2023-12-31,2023,5305.0,20.09,1148.0,21.64,1.46,39.16,-2.31,,1
FTNT,Fortinet Inc.,Cybersecurity,FY2024,2024-12-31,2024,5956.0,12.27,1745.0,29.3,2.26,41.49,0.72,338.74,0
FTNT,Fortinet Inc.,Cybersecurity,FY2025,2025-12-31,2025,6800.0,14.17,1853.0,27.25,2.42,31.86,0.86,135.72,0
GOOGL,Alphabet Inc.,Internet & Cloud,FY2022,2022-12-31,2022,282836.0,9.78,59972.0,21.2,4.56,19.09,0.12,23.62,0
GOOGL,Alphabet Inc.,Internet & Cloud,FY2023,2023-12-31,2023,307394.0,8.68,73795.0,24.01,5.8,23.79,0.11,27.36,0
GOOGL,Alphabet Inc.,Internet & Cloud,FY2024,2024-12-31,2024,350018.0,13.87,100118.0,28.6,8.04,23.21,0.09,32.91,0
GOOGL,Alphabet Inc.,Internet & Cloud,FY2025,2025-12-31,2025,402836.0,15.09,132170.0,32.81,10.8,28.61,0.16,35.7,0
HPE,Hewlett Packard Enterprise,Hardware,FY2022,2022-10-31,2022,28496.0,2.56,868.0,3.05,0.66,21.15,0.69,4.35,0
HPE,Hewlett Packard Enterprise,Hardware,FY2023,2023-10-31,2023,29135.0,2.24,2025.0,6.95,1.54,9.74,0.64,9.84,0
HPE,Hewlett Packard Enterprise,Hardware,FY2024,2024-10-31,2024,30127.0,3.4,2554.0,8.48,1.93,9.91,0.8,11.18,0
HPE,Hewlett Packard Enterprise,Hardware,FY2025,2025-10-31,2025,34296.0,13.84,-59.0,-0.17,-0.04,,0.97,0.23,0
HPQ,HP Inc.,Hardware,FY2022,2022-10-31,2022,62910.0,-0.87,3132.0,4.98,2.98,10.16,,,0
HPQ,HP Inc.,Hardware,FY2023,2023-10-31,2023,53718.0,-14.61,3263.0,6.07,3.26,7.98,,,0
HPQ,HP Inc.,Hardware,FY2024,2024-10-31,2024,53559.0,-0.3,2775.0,5.18,2.81,12.34,,,0
HPQ,HP Inc.,Hardware,FY2025,2025-10-31,2025,55295.0,3.24,2529.0,4.57,2.65,10.23,,,0
IBM,International Business Machines Corp.,IT Services,FY2021,2021-12-31,2021,57351.0,3.94,5743.0,10.01,6.35,,,,0
IBM,International Business Machines Corp.,IT Services,FY2022,2022-12-31,2022,60530.0,5.54,1639.0,2.71,1.79,77.72,2.45,8.69,0
IBM,International Business Machines Corp.,IT Services,FY2023,2023-12-31,2023,61860.0,2.2,7502.0,12.13,8.14,19.91,2.65,33.67,0
IBM,International Business Machines Corp.,IT Services,FY2024,2024-12-31,2024,62753.0,1.44,6023.0,9.6,6.43,33.75,2.13,24.06,0
IBM,International Business Machines Corp.,IT Services,FY2025,2025-12-31,2025,67535.0,7.62,10593.0,15.69,11.16,26.14,1.97,35.16,0
INFY,Infosys Limited,IT Services,FY2023,2023-03-31,2023,18212.0,11.65,2981.0,16.37,0.71,23.94,0.11,31.04,0
INFY,Infosys Limited,IT Services,FY2024,2024-03-31,2024,18562.0,1.92,3167.0,17.06,0.76,23.5,0.09,31.96,0
INFY,Infosys Limited,IT Services,FY2025,2025-03-31,2025,19277.0,3.85,3158.0,16.38,0.76,24.11,0.09,28.93,0
INFY,Infosys Limited,IT Services,FY2026,2026-03-31,2026,20158.0,4.57,3313.0,16.44,0.8,16.29,0.1,31.44,0
INTC,Intel Corporation,Semiconductors,FY2022,2022-12-31,2022,63054.0,-20.21,8014.0,12.71,1.94,13.61,0.41,8.07,0
INTC,Intel Corporation,Semiconductors,FY2023,2023-12-30,2023,54228.0,-14.0,1689.0,3.11,0.4,125.43,0.45,1.57,0
INTC,Intel Corporation,Semiconductors,FY2024,2024-12-28,2024,53101.0,-2.08,-18756.0,-35.32,-4.38,,0.48,-17.89,0
INTC,Intel Corporation,Semiconductors,FY2025,2025-12-27,2025,52853.0,-0.47,-267.0,-0.51,-0.06,,0.37,0.02,0
INTU,Intuit Inc.,Software,FY2022,2022-07-31,2022,12726.0,32.11,2066.0,16.23,7.28,62.28,0.46,15.71,0
INTU,Intuit Inc.,Software,FY2023,2023-07-31,2023,14368.0,12.9,2384.0,16.59,8.42,60.11,0.39,14.14,0
INTU,Intuit Inc.,Software,FY2024,2024-07-31,2024,16285.0,13.34,2963.0,18.19,10.43,61.08,0.36,16.6,0
INTU,Intuit Inc.,Software,FY2025,2025-07-31,2025,18831.0,15.63,3869.0,20.55,13.67,56.61,0.34,20.29,0
INTU,Intuit Inc.,Software,FY2026,2026-07-31,2026,21448.0,13.9,4566.0,21.29,16.46,18.93,0.44,23.6,0
META,Meta Platforms Inc.,Internet & Cloud,FY2022,2022-12-31,2022,116609.0,-1.12,23200.0,19.9,8.59,13.6,0.21,18.52,0
META,Meta Platforms Inc.,Internet & Cloud,FY2023,2023-12-31,2023,134902.0,15.69,39098.0,28.98,14.87,23.28,0.24,28.04,0
META,Meta Platforms Inc.,Internet & Cloud,FY2024,2024-12-31,2024,164501.0,21.94,62360.0,37.91,23.86,23.7,0.27,37.14,0
META,Meta Platforms Inc.,Internet & Cloud,FY2025,2025-12-31,2025,200966.0,22.17,60458.0,30.08,23.49,27.52,0.39,30.24,0
MSFT,Microsoft Corporation,Software,FY2022,2022-06-30,2022,198270.0,17.96,72738.0,36.69,9.65,26.41,0.47,47.15,0
MSFT,Microsoft Corporation,Software,FY2023,2023-06-30,2023,211915.0,6.88,72361.0,34.15,9.68,34.99,0.39,38.82,0
MSFT,Microsoft Corporation,Software,FY2024,2024-06-30,2024,245122.0,15.67,88136.0,35.96,11.8,37.69,0.36,37.13,0
MSFT,Microsoft Corporation,Software,FY2025,2025-06-30,2025,281724.0,14.93,101832.0,36.15,13.64,36.31,0.33,33.28,0
MSFT,Microsoft Corporation,Software,FY2026,2026-06-30,2026,331839.0,17.79,133749.0,40.31,17.95,20.72,0.29,34.04,0
MU,Micron Technology Inc.,Semiconductors,FY2022,2022-09-01,2022,30758.0,11.02,8687.0,28.24,7.75,7.28,0.15,18.51,0
MU,Micron Technology Inc.,Semiconductors,FY2023,2023-08-31,2023,15540.0,-49.48,-5833.0,-37.54,-5.34,,0.32,-12.41,0
MU,Micron Technology Inc.,Semiconductors,FY2024,2024-08-29,2024,25111.0,61.59,778.0,3.1,0.7,136.21,0.31,1.74,0
MU,Micron Technology Inc.,Semiconductors,FY2025,2025-08-28,2025,37378.0,48.85,8539.0,22.84,7.59,15.99,0.28,17.2,0
NOW,ServiceNow Inc.,Software,FY2021,2021-12-31,2021,5896.0,30.47,230.0,3.9,0.23,561.61,0.6,7.04,0
NOW,ServiceNow Inc.,Software,FY2022,2022-12-31,2022,7245.0,22.88,325.0,4.49,0.32,240.86,0.44,7.45,0
NOW,ServiceNow Inc.,Software,FY2023,2023-12-31,2023,8971.0,23.82,1731.0,19.3,1.68,83.49,0.3,27.35,0
NOW,ServiceNow Inc.,Software,FY2024,2024-12-31,2024,10984.0,22.44,1425.0,12.97,1.37,153.49,0.24,16.53,0
NOW,ServiceNow Inc.,Software,FY2025,2025-12-31,2025,13278.0,20.89,1748.0,13.16,1.67,90.92,0.19,15.49,0
NVDA,NVIDIA Corporation,Semiconductors,FY2023,2023-01-29,2023,26974.0,0.22,4368.0,16.19,0.17,114.74,0.54,17.93,0
NVDA,NVIDIA Corporation,Semiconductors,FY2024,2024-01-28,2024,60922.0,125.86,29760.0,48.85,1.19,50.65,0.26,91.46,0
NVDA,NVIDIA Corporation,Semiconductors,FY2025,2025-01-26,2025,130497.0,114.2,72880.0,55.85,2.94,47.93,0.13,119.18,0
NVDA,NVIDIA Corporation,Semiconductors,FY2026,2026-01-25,2026,215938.0,65.47,120067.0,55.6,4.9,37.98,0.07,101.48,0
ORCL,Oracle Corporation,Software,FY2022,2022-05-31,2022,42440.0,4.84,6717.0,15.83,2.41,28.57,-13.15,,1
ORCL,Oracle Corporation,Software,FY2023,2023-05-31,2023,49954.0,17.71,8503.0,17.02,3.07,33.64,58.15,,0
ORCL,Oracle Corporation,Software,FY2024,2024-05-31,2024,52961.0,6.02,10467.0,19.76,3.71,30.77,10.22,193.92,0
ORCL,Oracle Corporation,Software,FY2025,2025-05-31,2025,57399.0,8.38,12443.0,21.68,4.34,37.31,5.2,82.38,0
ORCL,Oracle Corporation,Software,FY2026,2026-05-31,2026,67357.0,17.35,16984.0,25.21,5.83,38.23,3.89,53.38,0
PANW,Palo Alto Networks Inc.,Cybersecurity,FY2022,2022-07-31,2022,5502.0,29.26,-267.0,-4.85,-0.45,,18.82,-63.23,0
PANW,Palo Alto Networks Inc.,Cybersecurity,FY2023,2023-07-31,2023,6893.0,25.29,439.7,6.38,0.64,173.87,1.3,44.9,0
PANW,Palo Alto Networks Inc.,Cybersecurity,FY2024,2024-07-31,2024,8028.0,16.46,2578.0,32.11,3.64,40.79,0.26,74.52,0
PANW,Palo Alto Networks Inc.,Cybersecurity,FY2025,2025-07-31,2025,9222.0,14.87,1134.0,12.3,1.6,102.26,0.05,17.45,0
PANW,Palo Alto Networks Inc.,Cybersecurity,FY2026,2026-07-31,2026,11480.0,24.49,307.0,2.67,0.4,880.92,0.09,1.74,0
QCOM,QUALCOMM Incorporated,Semiconductors,FY2022,2022-09-25,2022,44200.0,31.68,12936.0,29.27,11.37,10.52,0.9,92.88,0
QCOM,QUALCOMM Incorporated,Semiconductors,FY2023,2023-09-24,2023,35820.0,-18.96,7232.0,20.19,6.42,16.62,0.74,37.07,0
QCOM,QUALCOMM Incorporated,Semiconductors,FY2024,2024-09-29,2024,38962.0,8.77,10142.0,26.03,8.97,18.69,0.59,42.25,0
QCOM,QUALCOMM Incorporated,Semiconductors,FY2025,2025-09-28,2025,44284.0,13.66,5541.0,12.51,5.01,32.78,0.74,23.34,0
SAP,SAP SE,Software,FY2022,2022-12-31,2022,29520.0,9.52,2284.0,7.74,1.94,49.16,0.31,7.27,0
SAP,SAP SE,Software,FY2023,2023-12-31,2023,31207.0,5.71,6139.0,19.67,5.2,26.45,0.2,8.35,0
SAP,SAP SE,Software,FY2024,2024-12-31,2024,34176.0,9.51,3124.0,9.14,2.65,88.0,0.23,7.06,0
SAP,SAP SE,Software,FY2025,2025-12-31,2025,36800.0,7.68,7161.0,19.46,6.1,33.88,0.17,16.12,0
TXN,Texas Instruments Inc.,Semiconductors,FY2022,2022-12-31,2022,20028.0,9.18,8709.0,43.48,9.41,17.22,0.63,62.69,0
TXN,Texas Instruments Inc.,Semiconductors,FY2023,2023-12-31,2023,17519.0,-12.53,6476.0,36.97,7.07,23.91,0.7,41.37,0
TXN,Texas Instruments Inc.,Semiconductors,FY2024,2024-12-31,2024,15641.0,-10.72,4775.0,30.53,5.2,35.82,0.85,28.4,0
TXN,Texas Instruments Inc.,Semiconductors,FY2025,2025-12-31,2025,17682.0,13.05,4973.0,28.12,5.45,31.7,0.91,30.15,0
WDAY,Workday Inc.,Software,FY2022,2022-01-31,2022,5139.0,19.01,29.0,0.56,0.11,2181.12,0.46,0.74,0
WDAY,Workday Inc.,Software,FY2023,2023-01-31,2023,6216.0,20.96,-367.0,-5.9,-1.44,,0.58,-7.25,0
WDAY,Workday Inc.,Software,FY2024,2024-01-31,2024,7259.0,16.78,1381.0,19.02,5.21,55.43,0.41,20.21,0
WDAY,Workday Inc.,Software,FY2025,2025-01-31,2025,8446.0,16.35,526.0,6.23,1.95,132.53,0.37,6.15,0
WDAY,Workday Inc.,Software,FY2026,2026-01-31,2026,9552.0,13.1,693.0,7.26,2.59,66.65,0.49,8.23,0
